year,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,No_products
03/01/15,Quarter1,finishing ,Saturday,1,0.8,3.94,,960,0,0,0,0,8,0.902916667,880.0000003
03/01/15,Quarter1,sweing,Saturday,1,0.8,28.08,772,6300,50,0,0,0,56.5,0.800725314,759.6624774
03/01/15,Quarter1,sweing,Saturday,3,0.8,28.08,913,6540,50,0,0,0,54.5,0.800322936,745.6000002
03/01/15,Quarter1,sweing,Saturday,8,0.8,26.16,1261,7080,50,0,0,0,59,0.800318644,866.3999999
03/01/15,Quarter1,sweing,Saturday,12,0.8,26.16,844,7080,63,0,0,0,59,0.800318644,866.3999999
03/01/15,Quarter1,sweing,Saturday,11,0.8,11.61,1005,7080,50,0,0,0,29.5,0.800237288,1220
03/01/15,Quarter1,sweing,Saturday,5,0.8,11.61,659,7080,50,0,0,0,31.5,0.800148649,1269.486487
03/01/15,Quarter1,sweing,Saturday,6,0.8,25.9,1152,6720,50,0,0,0,56,0.800125,830.4
03/01/15,Quarter1,sweing,Saturday,7,0.8,25.9,1138,6720,38,0,0,0,56,0.800125,830.4
03/01/15,Quarter1,sweing,Saturday,10,0.75,19.31,610,6480,56,0,0,0,54,0.787299691,1056.8
03/01/15,Quarter1,finishing ,Saturday,2,0.8,4.15,,960,0,0,0,0,8,0.782447917,724.0000003
03/01/15,Quarter1,sweing,Saturday,2,0.75,19.87,944,6600,45,0,0,0,55,0.75024303,996.7999996
03/01/15,Quarter1,finishing ,Saturday,10,0.7,4.15,,960,0,0,0,0,8,0.7018125,649.3879518
03/01/15,Quarter1,sweing,Saturday,4,0.7,23.69,544,13800,0,0,0,0,60,0.700134038,1046.211268
03/01/15,Quarter1,sweing,Saturday,9,0.7,28.08,1072,6900,40,0,0,0,57.5,0.699965217,687.9999996
03/01/15,Quarter1,finishing ,Saturday,8,0.8,2.9,,960,0,0,0,0,8,0.628333333,831.9999996
03/01/15,Quarter1,finishing ,Saturday,7,0.8,3.94,,960,0,0,0,0,8,0.6253125,609.4416244
04/01/15,Quarter1,finishing ,Sunday,3,0.75,4.15,,1560,0,0,0,0,8,0.991388889,1060.666667
04/01/15,Quarter1,finishing ,Sunday,9,0.8,3.94,,960,0,0,0,0,8,0.931645833,907.9999997
04/01/15,Quarter1,finishing ,Sunday,1,0.8,3.94,,960,0,0,0,0,8,0.915229167,892.0000003
04/01/15,Quarter1,sweing,Sunday,6,0.8,11.61,539,6975,50,0,0,0,31,0.879714482,1374.12766
04/01/15,Quarter1,finishing ,Sunday,4,0.8,3.94,,6600,0,0,0,0,20,0.861679012,3018.063545
04/01/15,Quarter1,sweing,Sunday,9,0.8,26.16,1278,7080,60,0,0,0,59,0.850569492,920.8000005
04/01/15,Quarter1,sweing,Sunday,7,0.8,25.9,1227,7020,60,0,0,0,56.5,0.850436438,898.3760982
04/01/15,Quarter1,sweing,Sunday,8,0.8,25.9,1039,6780,45,0,0,0,56.5,0.850345133,890.4000003
04/01/15,Quarter1,sweing,Sunday,4,0.8,28.08,878,4260,50,0,0,0,55.5,0.800598058,691.1145629
04/01/15,Quarter1,sweing,Sunday,1,0.8,26.16,1033,7080,63,0,0,0,59,0.800318644,866.3999999
04/01/15,Quarter1,sweing,Sunday,2,0.8,28.08,782,6660,50,0,0,0,55.5,0.800237838,759.2000002
04/01/15,Quarter1,sweing,Sunday,12,0.8,11.61,1216,6975,50,0,0,0,31,0.800030199,1249.659574
04/01/15,Quarter1,finishing ,Sunday,2,0.8,3.94,,960,0,0,0,0,8,0.792104167,772.0000003
04/01/15,Quarter1,finishing ,Sunday,10,0.7,3.94,,4320,0,0,0,0,18,0.759228395,2081.133672
04/01/15,Quarter1,sweing,Sunday,11,0.75,19.31,513,6480,45,0,0,0,54,0.750348457,1007.2
04/01/15,Quarter1,sweing,Sunday,3,0.75,19.87,734,6600,45,0,0,0,55,0.75024303,996.7999996
04/01/15,Quarter1,sweing,Sunday,10,0.7,28.08,1202,6900,40,0,0,0,57.5,0.699965217,687.9999996
04/01/15,Quarter1,finishing ,Sunday,8,0.8,2.9,,960,0,0,0,0,8,0.682708333,903.9999996
04/01/15,Quarter1,finishing ,Sunday,7,0.8,2.9,,960,0,0,0,0,8,0.667604167,884.0000004
04/01/15,Quarter1,sweing,Sunday,5,0.7,45.67,884,6960,26,0,0,0,58,0.603432184,367.8465514
04/01/15,Quarter1,finishing ,Sunday,11,0.75,4.15,,960,0,0,0,0,8,0.345833333,319.9999997
05/01/15,Quarter1,finishing ,Monday,1,0.8,3.94,,1920,0,0,0,0,8,0.961059028,1170.833334
05/01/15,Quarter1,finishing ,Monday,11,0.8,3.94,,2400,0,0,0,0,10,0.939513889,1430.731811
05/01/15,Quarter1,finishing ,Monday,4,0.8,3.94,,3840,0,0,0,0,16,0.893663194,2177.453468
05/01/15,Quarter1,finishing ,Monday,3,0.75,4.15,,1920,0,0,0,0,8,0.875390625,1012.5
05/01/15,Quarter1,sweing,Monday,9,0.8,26.16,1227,7080,75,0,0,0,59,0.850569492,920.8000005
05/01/15,Quarter1,finishing ,Monday,9,0.8,2.9,,1920,0,0,0,0,8,0.820833333,1358.620689
05/01/15,Quarter1,finishing ,Monday,2,0.8,3.94,,960,0,0,0,0,8,0.804416667,784.0000003
05/01/15,Quarter1,sweing,Monday,7,0.8,25.9,1255,6780,50,0,0,0,56.5,0.800684366,838.4000002
05/01/15,Quarter1,sweing,Monday,8,0.8,25.9,1047,6780,38,0,0,0,56.5,0.800684366,838.4000002
05/01/15,Quarter1,sweing,Monday,1,0.8,26.16,1138,7080,63,0,0,0,59,0.800318644,866.3999999
05/01/15,Quarter1,sweing,Monday,11,0.8,19.31,678,4800,50,0,0,0,55,0.800250962,1019.48077
05/01/15,Quarter1,sweing,Monday,6,0.8,11.61,712,7200,50,0,0,0,32,0.800246011,1290.31915
05/01/15,Quarter1,sweing,Monday,12,0.8,11.61,1037,7200,50,0,0,0,32,0.800246011,1290.31915
05/01/15,Quarter1,sweing,Monday,2,0.8,28.08,757,6900,50,0,0,0,57.5,0.800076522,786.4000003
05/01/15,Quarter1,sweing,Monday,4,0.8,28.08,759,6900,50,0,0,0,57.5,0.800076522,786.4000003
05/01/15,Quarter1,finishing ,Monday,10,0.75,2.9,,960,0,0,0,0,8,0.763375,1010.813793
05/01/15,Quarter1,finishing ,Monday,5,0.6,2.9,,960,0,0,0,0,8,0.759270833,1005.37931
05/01/15,Quarter1,sweing,Monday,10,0.75,28.08,1083,7020,45,0,0,0,58.5,0.7504,750.4
05/01/15,Quarter1,sweing,Monday,3,0.75,19.87,944,6600,45,0,0,0,55,0.75024303,996.7999996
05/01/15,Quarter1,finishing ,Monday,7,0.8,3.94,,960,0,0,0,0,8,0.676666667,659.4923861
05/01/15,Quarter1,finishing ,Monday,8,0.8,2.9,,960,0,0,0,0,8,0.664583333,879.9999996
05/01/15,Quarter1,sweing,Monday,5,0.6,21.98,666,6960,23,0,0,0,58,0.600028736,760.0000005
06/01/15,Quarter1,finishing ,Tuesday,4,0.8,3.94,,4440,0,0,0,0,18,0.966781346,2679.505659
06/01/15,Quarter1,finishing ,Tuesday,1,0.8,3.94,,1440,0,0,0,0,8,0.936496212,1026.818182
06/01/15,Quarter1,finishing ,Tuesday,3,0.75,4.15,,1800,0,0,0,0,10,0.899166667,1170
06/01/15,Quarter1,finishing ,Tuesday,11,0.8,4.15,,2700,0,0,0,0,15,0.888686869,1734.545455
06/01/15,Quarter1,finishing ,Tuesday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939,940.9090905
06/01/15,Quarter1,sweing,Tuesday,1,0.8,26.16,1187,10620,75,0,0,0,59,0.850502311,1035.818182
06/01/15,Quarter1,sweing,Tuesday,9,0.8,26.16,1305,10620,75,0,0,0,59,0.850502311,1035.818182
06/01/15,Quarter1,finishing ,Tuesday,10,0.75,3.94,,1440,0,0,0,0,8,0.809640152,887.7272733
06/01/15,Quarter1,finishing ,Tuesday,2,0.8,3.94,,1440,0,0,0,0,8,0.805909091,883.6363637
06/01/15,Quarter1,sweing,Tuesday,2,0.8,28.08,716,10350,50,0,0,0,57.5,0.800594466,885.2727268
06/01/15,Quarter1,sweing,Tuesday,4,0.8,28.08,925,10350,50,0,0,0,57.5,0.800594466,885.2727268
06/01/15,Quarter1,sweing,Tuesday,3,0.8,19.87,963,9900,50,0,0,0,55,0.800273829,1196.181818
06/01/15,Quarter1,sweing,Tuesday,12,0.8,11.61,1101,5310,50,0,0,0,31.5,0.800140969,1147.488987
06/01/15,Quarter1,sweing,Tuesday,7,0.8,25.9,1035,10170,38,0,0,0,56.5,0.800128721,942.5454547
06/01/15,Quarter1,sweing,Tuesday,8,0.8,25.9,1083,10170,38,0,0,0,56.5,0.800128721,942.5454547
06/01/15,Quarter1,sweing,Tuesday,6,0.8,11.61,910,4470,38,0,0,0,31.5,0.80007657,1089.509954
06/01/15,Quarter1,sweing,Tuesday,10,0.75,28.08,1209,10530,45,0,0,0,58.5,0.750545455,844.3636369
06/01/15,Quarter1,sweing,Tuesday,11,0.75,19.31,590,9900,45,0,0,0,55,0.750057851,1153.636363
06/01/15,Quarter1,finishing ,Tuesday,8,0.8,2.9,,1440,0,0,0,0,8,0.681060606,1014.545454
06/01/15,Quarter1,sweing,Tuesday,5,0.65,21.98,808,10440,35,0,0,0,58,0.649983281,926.1818181
06/01/15,Quarter1,finishing ,Tuesday,7,0.8,2.9,,1440,0,0,0,0,8,0.61625,918
07/01/15,Quarter1,finishing ,Wednesday,1,0.8,3.94,,1440,0,0,0,0,8,0.951420455,1043.181819
07/01/15,Quarter1,finishing ,Wednesday,9,0.8,3.94,,1440,0,0,0,0,8,0.880530303,965.4545454
07/01/15,Quarter1,sweing,Wednesday,1,0.8,26.16,1179,10620,75,0,0,0,59,0.850502311,1035.818182
07/01/15,Quarter1,sweing,Wednesday,9,0.8,26.16,1324,10620,75,0,0,0,59,0.850502311,1035.818182
07/01/15,Quarter1,sweing,Wednesday,8,0.8,25.9,1135,10170,60,0,0,0,56.5,0.850136766,1001.454546
07/01/15,Quarter1,finishing ,Wednesday,3,0.75,4.15,,2700,0,0,0,0,15,0.83,1620
07/01/15,Quarter1,finishing ,Wednesday,4,0.8,3.94,,4440,0,0,0,0,18,0.827186544,2292.608391
07/01/15,Quarter1,finishing ,Wednesday,2,0.8,3.94,,1440,0,0,0,0,8,0.813371212,891.8181817
07/01/15,Quarter1,finishing ,Wednesday,10,0.75,3.94,,1440,0,0,0,0,8,0.805909091,883.6363637
07/01/15,Quarter1,finishing ,Wednesday,7,0.8,2.9,,1440,0,0,0,0,8,0.804640152,1198.636364
07/01/15,Quarter1,sweing,Wednesday,2,0.8,28.08,776,10350,63,0,0,0,57.5,0.800594466,885.2727268
07/01/15,Quarter1,sweing,Wednesday,4,0.8,28.08,990,10350,50,0,0,0,57.5,0.800594466,885.2727268
07/01/15,Quarter1,sweing,Wednesday,6,0.8,11.41,986,5490,50,0,0,0,30.5,0.800343766,1155.272728
07/01/15,Quarter1,sweing,Wednesday,3,0.8,19.87,924,9900,50,0,0,0,55,0.800273829,1196.181818
07/01/15,Quarter1,sweing,Wednesday,12,0.8,11.61,1120,5670,50,0,0,0,31.5,0.800246753,1172.454545
07/01/15,Quarter1,sweing,Wednesday,7,0.8,25.9,1066,10170,50,0,0,0,56.5,0.800128721,942.5454547
07/01/15,Quarter1,sweing,Wednesday,10,0.75,28.08,1144,10530,69,0,0,0,58.5,0.8,900
07/01/15,Quarter1,sweing,Wednesday,5,0.7,21.98,413,9720,40,0,0,0,58,0.700480831,975.1916937
07/01/15,Quarter1,finishing ,Wednesday,8,0.8,2.9,,1440,0,0,0,0,8,0.681060606,1014.545454
07/01/15,Quarter1,finishing ,Wednesday,6,0.8,2.9,,1800,0,0,0,0,10,0.666515152,1241.09718
07/01/15,Quarter1,sweing,Wednesday,11,0.8,31.83,568,9900,40,0,0,0,55,0.412119835,384.5415991
07/01/15,Quarter1,finishing ,Wednesday,5,0.7,4.15,,1440,0,0,0,0,8,0.330113636,343.6363633
08/01/15,Quarter2,finishing ,Thursday,1,0.8,3.94,,1440,0,0,0,0,8,0.947689394,1039.090909
08/01/15,Quarter2,finishing ,Thursday,4,0.8,3.94,,12600,0,0,0,0,20,0.919905405,4622.874878
08/01/15,Quarter2,sweing,Thursday,9,0.8,26.16,1216,10620,88,0,0,0,59,0.900215716,1096.363636
08/01/15,Quarter2,finishing ,Thursday,9,0.8,3.94,,1440,0,0,0,0,8,0.891723485,977.7272729
08/01/15,Quarter2,sweing,Thursday,1,0.8,26.16,1189,10620,75,0,0,0,59,0.850502311,1035.818182
08/01/15,Quarter2,sweing,Thursday,4,0.8,28.08,942,10530,75,0,0,0,58.5,0.850181818,956.4545453
08/01/15,Quarter2,sweing,Thursday,7,0.8,25.9,1050,10170,60,0,0,0,56.5,0.850136766,1001.454546
08/01/15,Quarter2,sweing,Thursday,8,0.8,25.9,1026,10170,60,0,0,0,56.5,0.850136766,1001.454546
08/01/15,Quarter2,finishing ,Thursday,2,0.8,3.94,,1440,0,0,0,0,8,0.835757576,916.3636366
08/01/15,Quarter2,finishing ,Thursday,5,0.7,4.15,,3840,0,0,0,0,8,0.821354167,1330.000001
08/01/15,Quarter2,sweing,Thursday,2,0.8,28.08,783,10050,63,0,0,0,58.5,0.800497246,886.8756881
08/01/15,Quarter2,sweing,Thursday,3,0.8,19.87,857,9900,50,0,0,0,55,0.800273829,1196.181818
08/01/15,Quarter2,sweing,Thursday,12,0.8,11.61,548,15120,63,0,0,0,31.5,0.800107143,1823.5
08/01/15,Quarter2,sweing,Thursday,6,0.8,11.41,411,14640,50,0,0,0,30.5,0.800024932,1796.375001
08/01/15,Quarter2,sweing,Thursday,10,0.75,28.08,1066,10530,69,0,0,0,58.5,0.8,900
08/01/15,Quarter2,finishing ,Thursday,10,0.75,3.94,,1440,0,0,0,0,8,0.779791667,855.0000004
08/01/15,Quarter2,finishing ,Thursday,8,0.8,2.9,,1440,0,0,0,0,8,0.735984848,1096.363636
08/01/15,Quarter2,finishing ,Thursday,3,0.75,4.15,,2160,0,0,0,0,12,0.712626263,1112.727273
08/01/15,Quarter2,finishing ,Thursday,7,0.8,2.9,,1440,0,0,0,0,8,0.681060606,1014.545454
08/01/15,Quarter2,finishing ,Thursday,11,0.8,4.15,,900,0,0,0,0,5,0.515606061,335.4545457
08/01/15,Quarter2,sweing,Thursday,11,0.35,12.52,287,25920,38,0,0,0,54,0.349951389,1267.875
08/01/15,Quarter2,sweing,Thursday,5,0.7,42.41,724,10260,0,0,0,0,57,0.233705476,169.616943
10/01/15,Quarter2,finishing ,Saturday,1,0.8,3.94,,2160,0,0,0,0,8,0.985,1260
10/01/15,Quarter2,finishing ,Saturday,3,0.75,4.15,,2760,0,0,0,0,12,0.930340376,1587.183099
10/01/15,Quarter2,finishing ,Saturday,4,0.8,3.94,,6000,0,0,0,0,20,0.911589744,3054.05701
10/01/15,Quarter2,finishing ,Saturday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939,940.9090905
10/01/15,Quarter2,sweing,Saturday,9,0.8,26.16,1122,10620,75,0,0,0,59,0.851174114,1036.636364
10/01/15,Quarter2,sweing,Saturday,7,0.8,25.9,970,10170,60,0,0,0,56.5,0.850136766,1001.454546
10/01/15,Quarter2,sweing,Saturday,8,0.8,25.9,1158,10170,60,0,0,0,56.5,0.850136766,1001.454546
10/01/15,Quarter2,finishing ,Saturday,10,0.8,3.94,,1440,0,0,0,0,8,0.846950758,928.6363641
10/01/15,Quarter2,finishing ,Saturday,11,0.8,4.15,,1440,0,0,0,0,8,0.817424242,850.9090905
10/01/15,Quarter2,finishing ,Saturday,2,0.8,3.94,,1440,0,0,0,0,8,0.817102273,895.9090912
10/01/15,Quarter2,sweing,Saturday,4,0.8,28.08,660,10440,63,0,0,0,58,0.801028213,893.4545453
10/01/15,Quarter2,sweing,Saturday,2,0.8,28.08,749,10350,63,0,0,0,57.5,0.800594466,885.2727268
10/01/15,Quarter2,sweing,Saturday,12,0.8,11.61,893,4710,50,0,0,0,31.5,0.800346445,1106.422088
10/01/15,Quarter2,sweing,Saturday,6,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766,1155.272728
10/01/15,Quarter2,sweing,Saturday,1,0.8,26.16,1335,10620,63,0,0,0,59,0.800117103,974.4545452
10/01/15,Quarter2,sweing,Saturday,10,0.8,28.08,1082,10530,63,0,0,0,58.5,0.8,900
10/01/15,Quarter2,sweing,Saturday,3,0.75,19.87,1075,7080,45,0,0,0,56,0.750098351,1028.318021
10/01/15,Quarter2,sweing,Saturday,11,0.5,12.52,749,9540,38,0,0,0,53,0.673245283,1539
10/01/15,Quarter2,finishing ,Saturday,7,0.8,2.9,,1440,0,0,0,0,8,0.670075758,998.1818188
10/01/15,Quarter2,finishing ,Saturday,8,0.8,2.9,,1440,0,0,0,0,8,0.628882576,936.8181822
10/01/15,Quarter2,sweing,Saturday,5,0.5,20.79,966,7680,0,0,0,0,56,0.388007813,519.583334
10/01/15,Quarter2,finishing ,Saturday,5,0.5,4.15,,1440,0,0,0,0,8,0.337973485,351.818182
11/01/15,Quarter2,finishing ,Sunday,3,0.75,4.15,,1440,0,0,0,0,8,0.93532197,973.636364
11/01/15,Quarter2,finishing ,Sunday,4,0.8,3.94,,3600,0,0,0,0,20,0.925643939,2537.298107
11/01/15,Quarter2,sweing,Sunday,9,0.8,26.16,1095,10620,88,0,0,0,59,0.900215716,1096.363636
11/01/15,Quarter2,finishing ,Sunday,1,0.8,3.94,,1440,0,0,0,0,8,0.873068182,957.2727275
11/01/15,Quarter2,finishing ,Sunday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939,940.9090905
11/01/15,Quarter2,sweing,Sunday,1,0.8,26.16,1383,10620,75,0,0,0,59,0.850502311,1035.818182
11/01/15,Quarter2,sweing,Sunday,7,0.8,25.9,1012,10170,45,0,0,0,56.5,0.850136766,1001.454546
11/01/15,Quarter2,sweing,Sunday,8,0.8,25.9,1209,10170,60,0,0,0,56.5,0.850136766,1001.454546
11/01/15,Quarter2,finishing ,Sunday,10,0.8,3.94,,1440,0,0,0,0,8,0.828295455,908.1818187
11/01/15,Quarter2,finishing ,Sunday,2,0.8,3.94,,1440,0,0,0,0,8,0.820833333,899.9999996
11/01/15,Quarter2,sweing,Sunday,6,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766,1155.272728
11/01/15,Quarter2,sweing,Sunday,12,0.8,11.61,896,5670,50,0,0,0,31.5,0.800246753,1172.454545
11/01/15,Quarter2,sweing,Sunday,2,0.8,28.08,805,10530,63,0,0,0,58.5,0.8,900
11/01/15,Quarter2,sweing,Sunday,10,0.8,28.08,762,10530,38,0,0,0,58.5,0.8,900
11/01/15,Quarter2,sweing,Sunday,3,0.8,19.87,1043,6420,0,0,0,0,55,0.690182815,910.7495425
11/01/15,Quarter2,finishing ,Sunday,11,0.8,4.15,,1440,0,0,0,0,8,0.668087121,695.4545452
11/01/15,Quarter2,finishing ,Sunday,8,0.8,2.9,,1440,0,0,0,0,8,0.653598485,973.6363639
11/01/15,Quarter2,finishing ,Sunday,5,0.5,4.15,,1440,0,0,0,0,8,0.609138258,634.0909095
11/01/15,Quarter2,sweing,Sunday,11,0.6,12.52,831,9540,30,0,0,0,53,0.600229846,1372.09091
11/01/15,Quarter2,finishing ,Sunday,6,0.8,2.9,,1440,0,0,0,0,8,0.597348485,889.8432604
11/01/15,Quarter2,finishing ,Sunday,7,0.8,2.9,,1440,0,0,0,0,8,0.590435606,879.5454545
11/01/15,Quarter2,sweing,Sunday,4,0.8,50.48,562,10440,0,0,0,0,58,0.473134796,293.5535224
11/01/15,Quarter2,sweing,Sunday,5,0.6,20.79,1208,7980,0,0,0,0,57,0.452979626,620.9677413
12/01/15,Quarter2,finishing ,Monday,1,0.8,3.94,,1440,0,0,0,0,8,0.955151515,1047.272727
12/01/15,Quarter2,finishing ,Monday,4,0.35,4.3,,3240,0,0,0,0,18,0.942213805,2129.841438
12/01/15,Quarter2,finishing ,Monday,3,0.8,4.15,,1800,0,0,0,0,10,0.905454545,1178.181818
12/01/15,Quarter2,finishing ,Monday,2,0.8,3.94,,1440,0,0,0,0,8,0.880530303,965.4545454
12/01/15,Quarter2,finishing ,Monday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939,940.9090905
12/01/15,Quarter2,sweing,Monday,1,0.8,26.16,1099,8220,75,0,0,0,59,0.850522167,957.8128073
12/01/15,Quarter2,sweing,Monday,9,0.8,26.16,1093,10620,75,0,0,0,59,0.850502311,1035.818182
12/01/15,Quarter2,sweing,Monday,7,0.8,25.9,1031,10170,60,0,0,0,56.5,0.850136766,1001.454546
12/01/15,Quarter2,sweing,Monday,8,0.8,25.9,1233,10170,60,0,0,0,56.5,0.850136766,1001.454546
12/01/15,Quarter2,finishing ,Monday,6,0.8,2.9,,1440,0,0,0,0,8,0.817424242,1217.68025
12/01/15,Quarter2,finishing ,Monday,5,0.65,4.15,,1440,0,0,0,0,8,0.809564394,842.7272728
12/01/15,Quarter2,sweing,Monday,3,0.8,19.87,941,9900,0,0,0,0,55,0.800273829,1196.181818
12/01/15,Quarter2,sweing,Monday,6,0.8,11.41,843,5670,50,0,0,0,31.5,0.800181818,1192.909091
12/01/15,Quarter2,sweing,Monday,12,0.8,11.61,760,4470,50,0,0,0,31.5,0.80007657,1089.509954
12/01/15,Quarter2,sweing,Monday,2,0.8,28.08,737,10530,63,0,0,0,58.5,0.8,900
12/01/15,Quarter2,finishing ,Monday,8,0.8,2.9,,1440,0,0,0,0,8,0.725,1080
12/01/15,Quarter2,sweing,Monday,10,0.8,50.48,381,6930,45,0,0,0,58.5,0.688557555,381.7893416
12/01/15,Quarter2,sweing,Monday,5,0.65,20.79,1141,8460,0,0,0,0,59,0.650040783,928.62969
12/01/15,Quarter2,sweing,Monday,11,0.65,12.52,1004,9540,44,0,0,0,53,0.64998056,1485.818181
12/01/15,Quarter2,finishing ,Monday,7,0.8,2.9,,1440,0,0,0,0,8,0.648106061,965.454546
12/01/15,Quarter2,finishing ,Monday,11,0.8,4.15,,1440,0,0,0,0,8,0.640577652,666.8181823
12/01/15,Quarter2,sweing,Monday,4,0.35,22.4,581,7350,0,0,0,0,51.5,0.35063299,405.2628621
12/01/15,Quarter2,finishing ,Monday,10,0.8,3.94,,1440,0,0,0,0,8,0.24625,270
13/01/15,Quarter2,finishing ,Tuesday,4,0.35,4.3,,2160,0,0,0,0,12,0.952020202,1434.672304
13/01/15,Quarter2,finishing ,Tuesday,1,0.8,3.94,,1440,0,0,0,0,2,0.951420455,521.5909093
13/01/15,Quarter2,finishing ,Tuesday,10,0.8,3.94,,5400,0,0,0,0,20,0.912766667,2919.000001
13/01/15,Quarter2,finishing ,Tuesday,3,0.8,4.15,,1620,0,0,0,0,9,0.901262626,1055.454545
13/01/15,Quarter2,finishing ,Tuesday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939,940.9090905
13/01/15,Quarter2,sweing,Tuesday,1,0.8,26.16,1073,10620,75,0,0,0,59,0.850502311,1035.818182
13/01/15,Quarter2,sweing,Tuesday,9,0.8,26.16,1156,10620,75,0,0,0,59,0.850502311,1035.818182
13/01/15,Quarter2,sweing,Tuesday,8,0.8,25.9,1211,10260,60,0,0,0,57,0.850252525,1010.454545
13/01/15,Quarter2,sweing,Tuesday,7,0.8,25.9,1126,10170,60,0,0,0,56.5,0.850136766,1001.454546
13/01/15,Quarter2,finishing ,Tuesday,5,0.65,4.15,,1440,0,0,0,0,8,0.821354167,855.0000003
13/01/15,Quarter2,finishing ,Tuesday,2,0.8,3.94,,1440,0,0,0,0,8,0.805909091,883.6363637
13/01/15,Quarter2,sweing,Tuesday,6,0.8,11.61,1004,5670,50,0,0,0,31.5,0.800246753,1172.454545
13/01/15,Quarter2,sweing,Tuesday,12,0.8,11.61,1063,5670,50,0,0,0,31.5,0.800246753,1172.454545
13/01/15,Quarter2,sweing,Tuesday,2,0.8,28.08,723,10530,50,0,0,0,58.5,0.8,900
13/01/15,Quarter2,sweing,Tuesday,3,0.8,42.27,465,9900,54,0,0,0,55,0.705576584,495.7564359
13/01/15,Quarter2,finishing ,Tuesday,8,0.8,2.9,,1440,0,0,0,0,8,0.681060606,1014.545454
13/01/15,Quarter2,finishing ,Tuesday,7,0.8,2.9,,1440,0,0,0,0,8,0.670075758,998.1818188
13/01/15,Quarter2,finishing ,Tuesday,11,0.8,4.15,,1440,0,0,0,0,8,0.601278409,625.9090908
13/01/15,Quarter2,sweing,Tuesday,11,0.7,27.13,530,9540,37,0,0,0,53,0.582301029,614.2814394
13/01/15,Quarter2,sweing,Tuesday,5,0.7,20.79,1297,10440,0,0,0,0,58,0.526810345,793.6363639
13/01/15,Quarter2,sweing,Tuesday,4,0.5,22.4,783,10170,23,0,0,0,56.5,0.500380799,681.5454544
